title|EJECT THE CRATE CREATURE
opening1|BOOTING UP CARGO BAY COMPUTER INTELLIGENCE...
opening2|GOOD MORNING CAPTAIN.
opening3|WE HAVE WOKEN YOU EARLY FROM CRYO-SLEEP TO DEAL WITH AN ANOMALY IN THE CARGO BAY.
opening4|WE BELIEVE A CREATURE FROM CRATE X-7/2 WAS NOT PROPERLY CONTAINED IS NOW DESTROYING NEIGHBORING CARGO UNITS.
opening5|THIS IS AN UNACCEPTABLE LOSS FOR THE CORPORATION.
opening6|THERE ARE 36 CONTAINERS IN THE CARGO BAY. THEY ARE LABELED AND LOCATED BASED ON THE KEYBOARD CONFIGURATION IN FRONT OF YOU.
opening7|'1' THROUGH '9' TO 'Z' THROUGH 'PERIOD' ARE ALL VALID CARGO KEYS.
opening8|PRESS ANY CARGO KEY ON YOUR KEYBOARD TO ACTIVATE ITS RADAR FROM ITS RESPECTIVE LOCATION.
opening9|PRESS SHIFT PLUS ANY CARGO KEY TO EJECT THE CONTAINER INTO SPACE.
opening10|IDENTIFY THE CREATURE'S LOCATION.
opening11|EJECT THE CREATURE.
opening12|DO NOT EJECT ANY EXTRANEOUS CARGO, YOU WILL BE FINED FOR EJECTED AND DAMAGED CONTAINERS.
opening13|PRESS ENTER TO BEGIN.
ejectingFailedAlreadyEjected|FAILED EJECTING, CONTAINMENT UNIT ALREADY EJECTED
isEjected|IS EJECTED
AnomalyStillActive|ANOMALY STILL ACTIVE
AnomalyNotActive|ANOMALY PRESENCE EJECTED
missionBegin|MISSION BEGIN
missionSuccess|MISSION SUCCESSFUL
totalFine|YOU HAVE BEEN FINED A TOTAL OF
credits|CREDITS
thankYou|THANK YOU FOR YOUR SERVICE
resetGame|TO RESET THE GAME, GO TO THE MAIN MENU
fullReadout|PUSH ENTER FOR A FULL READOUT ON CONTAINMENT DAMAGE
wasEjectedSingular|WAS EJECTED AND YOU WERE FINED FOR 270 CREDITS
wasEjected|WERE EJECTED AND YOU WERE FINED FOR 270 CREDITS EACH
wasHeavilyDamagedSingular|WAS HEAVILY DAMAGED AND FINED FOR 270 CREDITS
wasHeavilyDamaged|WERE HEAVILY DAMAGED AND YOU WERE FINED FOR 270 CREDITS EACH
wasDamaged|WAS DAMAGED AND YOU WERE FINED FOR
wereDamaged|WERE DAMAGED AND YOU WERE FINED
forEach|FOR EACH
containmentUnit|Containment Unit
Digit1|1
Digit2|2
Digit3|3
Digit4|4
Digit5|5
Digit6|6
Digit7|7
Digit8|8
Digit9|9
KeyQ|Q
KeyW|W
KeyE|E
KeyR|R
KeyT|T
KeyY|Y
KeyU|U
KeyI|I
KeyO|O
KeyA|A
KeyS|S
KeyD|D
KeyF|F
KeyG|G
KeyH|H
KeyJ|J
KeyK|K
KeyL|L
KeyZ|Z
KeyX|X
KeyC|C
KeyV|V
KeyB|B
KeyN|N
KeyM|M
Comma|Comma
Period|Period
1|ONE
2|TWO
3|THREE
4|FOUR
5|FIVE
6|SIX
7|SEVEN
8|EIGHT
9|NINE
10|TEN
20|TWENTY
30|THIRTY
40|FORTY
50|FIFTY
60|SIXTY
70|SEVENTY
80|EIGHTY
90|NINETY
hundred|HUNDRED
thousand|THOUSAND
and|AND
